corpus,model,kfold,model_num,epoch,discrepancy,train_acc,train_f1,train_p,train_r,train_qwk,vali_acc,vali_f1,vali_p,vali_r,vali_qwk,test_acc,test_f1,test_p,test_r,test_qwk,time_taken
onestop,bert,1,10,2.192982456140351,0.008963125401481253,0.9735099337748344,0.9734808570425011,0.9748616066839934,0.9748616066839934,0.9205298013245033,0.9824561403508771,0.9824439824439823,0.9833333333333333,0.9833333333333333,0.9473684210526316,0.9473684210526315,0.9470383275261323,0.9545454545454545,0.9545454545454545,0.8421052631578947,646.0757927894592
onestop,bert,2,8,1.8,0.04825663779377032,0.49583333333333335,0.4349233044604369,0.4602584304633215,0.4602584304633215,0.7743634767339772,0.4666666666666667,0.3866666666666666,0.37555555555555553,0.37555555555555553,0.8707482993197279,0.5,0.43888888888888894,0.42833333333333334,0.42833333333333334,0.8951048951048951,307.9152750968933
onestop,bert,2,9,2.0,0.24361780348647807,0.5,0.48699547844310037,0.6296209376372419,0.6296209376372419,0.6929316338354576,0.26666666666666666,0.2433776749566223,0.36043956043956044,0.36043956043956044,0.5490196078431373,0.43333333333333335,0.40555555555555556,0.43333333333333335,0.43333333333333335,0.8360655737704918,315.1927959918976
onestop,bert,2,10,2.2,0.11065982668173774,0.6,0.5685963346182457,0.6659253356515021,0.6659253356515021,0.8383128295254834,0.5,0.4579365079365079,0.46166666666666667,0.46166666666666667,0.8444444444444444,0.6333333333333333,0.6159673659673659,0.6895238095238094,0.6895238095238094,0.9172932330827068,322.5251305103302
onestop,bert,1,11,2.3859649122807016,0.0022075297230720325,0.9977924944812362,0.997792470276928,0.9978070175438597,0.9978070175438597,0.9933774834437086,1.0,1.0,1.0,1.0,1.0,0.9824561403508771,0.9824439824439823,0.9833333333333333,0.9833333333333333,0.9473684210526316,670.1214401721954
onestop,bert,2,11,2.4,0.09955088896265363,0.6625,0.6042395336512983,0.7253968253968254,0.7253968253968254,0.8765088207985143,0.5666666666666667,0.5046886446886447,0.4607142857142857,0.4607142857142857,0.8592592592592593,0.6,0.5281318681318682,0.47619047619047616,0.47619047619047616,0.9130434782608696,329.80394649505615
onestop,bert,2,12,2.6,0.09724274153048063,0.7041666666666667,0.6768031810909202,0.7364062150681868,0.7364062150681868,0.8681732580037664,0.6,0.5795604395604396,0.6511904761904762,0.6511904761904762,0.8676470588235294,0.6333333333333333,0.6059096459096459,0.6428571428571428,0.6428571428571428,0.9185185185185185,337.0865869522095
weebit,bert,0,7,1.5942492012779552,0.03189085415843684,0.9144,0.9138144495633042,0.9210965020287735,0.9210965020287735,0.9732134222995842,0.8814102564102564,0.8819235954048673,0.893697292610336,0.893697292610336,0.9616888193901485,0.8817891373801917,0.8824272312444281,0.8909695759838688,0.8909695759838688,0.9467275494672756,769.4183979034424
weebit,bert,2,13,2.8,0.10230410371682286,0.7708333333333334,0.7612784626911817,0.7770199216039623,0.7770199216039623,0.90715667311412,0.6666666666666666,0.6589743589743589,0.6857142857142856,0.6857142857142856,0.8549618320610687,0.7,0.6823776223776223,0.7504761904761904,0.7504761904761904,0.9323308270676691,344.3592324256897
onestop,bert,1,12,2.5789473684210527,0.0022075297230720325,0.9977924944812362,0.997792470276928,0.9978070175438597,0.9978070175438597,0.9933774834437086,1.0,1.0,1.0,1.0,1.0,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.8947368421052632,692.5834259986877
onestop,bert,2,14,3.0,0.1389973939244662,0.8041666666666667,0.797971752898825,0.8019602546431815,0.8019602546431815,0.9276511397423192,0.6666666666666666,0.6589743589743589,0.6857142857142856,0.6857142857142856,0.8549618320610687,0.7666666666666667,0.7439160839160839,0.8076190476190476,0.8076190476190476,0.9465648854961832,351.6446464061737
onestop,bert,3,0,0.2,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,365.015709400177
onestop,bert,3,1,0.4,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,372.30723786354065
onestop,bert,1,13,2.7719298245614032,0.0022075297230720325,0.9977924944812362,0.997792470276928,0.9978070175438597,0.9978070175438597,0.9933774834437086,1.0,1.0,1.0,1.0,1.0,0.9824561403508771,0.9824439824439823,0.9833333333333333,0.9833333333333333,0.9473684210526316,717.2023820877075
onestop,bert,3,2,0.6,0.0458628841607565,0.225,0.11252955082742316,0.24102564102564103,0.24102564102564103,0.09756097560975607,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,379.57234144210815
onestop,bert,3,3,0.8,0.0019091047271621309,0.4041666666666667,0.25079799361605104,0.24672364672364674,0.24672364672364674,0.5923172242874845,0.4,0.2488888888888889,0.1904761904761905,0.1904761904761905,0.625,0.43333333333333335,0.31746031746031744,0.4071428571428572,0.4071428571428572,0.6236559139784946,386.8030483722687
onestop,bert,3,4,1.0,0.16135338345864664,0.37916666666666665,0.3080200501253133,0.3588888888888889,0.3588888888888889,0.4509803921568627,0.26666666666666666,0.14666666666666667,0.11666666666666667,0.11666666666666667,0.303030303030303,0.26666666666666666,0.155,0.14615384615384616,0.14615384615384616,0.1875,394.09976744651794
onestop,bert,1,14,2.9649122807017543,0.0022075297230720325,0.9977924944812362,0.997792470276928,0.9978070175438597,0.9978070175438597,0.9933774834437086,1.0,1.0,1.0,1.0,1.0,0.9824561403508771,0.9824439824439823,0.9833333333333333,0.9833333333333333,0.9473684210526316,741.3191838264465
onestop,bert,3,5,1.2,0.2651356947009122,0.5833333333333334,0.5411356947009122,0.7585826661047901,0.7585826661047901,0.7742749054224464,0.36666666666666664,0.27599999999999997,0.3298245614035088,0.3298245614035088,0.5974025974025974,0.43333333333333335,0.3688311688311688,0.48500000000000004,0.48500000000000004,0.7415730337078652,401.39505553245544
onestop,bert,3,6,1.4,0.026138314917852568,0.55,0.48707024123188014,0.643916450376962,0.643916450376962,0.8357348703170029,0.5666666666666667,0.5132085561497327,0.5127272727272727,0.5127272727272727,0.8429752066115702,0.4,0.32085561497326204,0.2836363636363636,0.2836363636363636,0.7874015748031497,408.72391080856323
onestop,bert,3,7,1.6,0.027994320634810332,0.6375,0.5702165428570325,0.7314326069410816,0.7314326069410816,0.8548530721282279,0.6333333333333333,0.5422222222222222,0.5111111111111112,0.5111111111111112,0.8740740740740741,0.6333333333333333,0.5869047619047618,0.7611111111111112,0.7611111111111112,0.8740740740740741,416.0199284553528
onestop,bert,3,8,1.8,0.09346181669488529,0.7083333333333334,0.6867951500282187,0.7280096852300242,0.7280096852300242,0.8843283582089552,0.6666666666666666,0.5933333333333334,0.5444444444444445,0.5444444444444445,0.873015873015873,0.7,0.6826950826950825,0.7004761904761904,0.7004761904761904,0.90625,423.30962896347046
onestop,bert,2,0,0.19298245614035087,0.005880077738307565,0.33259911894273125,0.1660246841664543,0.1106221739214811,0.1106221739214811,0.0,0.3392857142857143,0.17190476190476187,0.11511479591836736,0.11511479591836736,0.0,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.0,772.3702068328857
onestop,bert,3,9,2.0,0.04847482215681975,0.7333333333333333,0.7148028078965701,0.751816977269959,0.751816977269959,0.8942307692307693,0.7,0.6663279857397504,0.7424242424242424,0.7424242424242424,0.9256198347107438,0.6666666666666666,0.6471861471861472,0.7144444444444444,0.7144444444444444,0.8943089430894309,430.61236667633057
onestop,bert,3,10,2.2,0.21043314075341407,0.6958333333333333,0.6751950455153188,0.7565319731496202,0.7565319731496202,0.88,0.5333333333333333,0.46476190476190476,0.6133333333333333,0.6133333333333333,0.8468468468468469,0.6333333333333333,0.5702164502164503,0.5957142857142858,0.5957142857142858,0.8521739130434782,437.8679299354553
weebit,bert,0,8,1.792332268370607,0.04042376852451468,0.9476,0.9475132864154537,0.9476467512666017,0.9476467512666017,0.9846062171019963,0.907051282051282,0.9070895178909391,0.9073927990679405,0.9073927990679405,0.9596122778675282,0.9009584664536742,0.9015574784400345,0.9028106544680028,0.9028106544680028,0.9632000000000001,868.3217647075653
weebit,bert,3,11,2.4,0.22133345813077054,0.7791666666666667,0.7676492476044549,0.8080132660942257,0.8080132660942257,0.9118541033434651,0.6,0.5463157894736843,0.6256410256410256,0.6256410256410256,0.896551724137931,0.6666666666666666,0.6348272642390289,0.7257575757575758,0.7257575757575758,0.8925619834710744,445.17280888557434
onestop,bert,2,1,0.38596491228070173,0.007652452758968614,0.33259911894273125,0.1665753464688306,0.11111165256715139,0.11111165256715139,0.0053050397877983935,0.3392857142857143,0.1742277992277992,0.1172077922077922,0.1172077922077922,0.02150537634408589,0.3333333333333333,0.17117117117117117,0.11515151515151514,0.11515151515151514,0.043010752688172005,795.0412769317627
onestop,bert,3,12,2.6,0.08802250747284501,0.7708333333333334,0.7543504932125954,0.8075644875644875,0.8075644875644875,0.9137931034482758,0.7,0.6663279857397504,0.7424242424242424,0.7424242424242424,0.9256198347107438,0.7333333333333333,0.7136507936507938,0.75,0.75,0.9105691056910569,452.4494400024414
onestop,bert,3,13,2.8,0.11870053634759514,0.7583333333333333,0.7378257248845483,0.7919693732193732,0.7919693732193732,0.9273743016759777,0.7,0.6191251885369532,0.6138528138528139,0.6138528138528139,0.9291338582677166,0.7333333333333333,0.7230952380952381,0.8166666666666667,0.8166666666666667,0.8985507246376812,459.7614986896515
